match_id,my_team,team1_gold,team2_gold,gold_diff,gold_leading_team,my_team_ahead_gold,team1_kills,team2_kills,kill_diff,kill_leading_team,my_team_ahead_kills,my_team_win,winner
LA1_1638676023,100,17375,15050,2325,100,False,7,3,4,100,True,True,100
LA1_1636273150,200,17156,16124,-1032,100,False,7,4,-3,100,True,True,200
LA1_1636973011,100,16978,17391,-413,200,False,6,6,0,0,False,False,200
LA1_1634780232,200,17277,19532,2255,200,False,6,12,6,200,False,True,200
LA1_1638669325,200,16688,19028,2340,200,False,6,8,2,200,False,True,200
LA1_1634740860,100,16035,19250,-3215,200,False,6,11,-5,200,False,False,200
LA1_1635230965,100,15657,16340,-683,200,False,4,4,0,0,False,True,100
LA1_1637145351,200,15760,16421,661,200,False,5,6,1,200,False,False,100
LA1_1636981603,100,16682,15748,934,100,False,7,5,2,100,True,True,100
LA1_1635228953,100,15697,16186,-489,200,False,3,4,-1,200,False,True,100
LA1_1635043958,200,16958,16824,-134,100,False,6,8,2,200,False,True,200
LA1_1634768011,100,15617,16578,-961,200,False,4,5,-1,200,False,True,100
LA1_1634788327,200,16819,16646,-173,100,False,9,7,-2,100,True,True,200
LA1_1636063481,100,15980,15882,98,100,False,3,5,-2,200,False,True,100
LA1_1636053293,100,18568,14875,3693,100,False,10,3,7,100,True,True,100
LA1_1637916138,100,17446,14305,3141,100,False,6,1,5,100,True,True,100
LA1_1634795704,100,16164,16258,-94,200,False,6,5,1,100,True,False,200
LA1_1639258053,200,16071,17550,1479,200,False,6,6,0,0,False,False,100
LA1_1635054114,200,16457,21176,4719,200,False,5,18,13,200,False,True,200
LA1_1638663727,200,17414,17887,473,200,False,7,8,1,200,False,False,100
LA1_1636991257,200,16617,17451,834,200,False,6,8,2,200,False,True,200
LA1_1637139798,100,17530,17923,-393,200,False,8,9,-1,200,False,False,200
LA1_1636770126,200,15533,16550,1017,200,False,2,5,3,200,False,False,100
LA1_1635233799,200,18169,14033,-4136,100,False,8,1,-7,100,True,False,100
LA1_1635285279,200,16655,17027,372,200,False,5,7,2,200,False,True,200
LA1_1635547248,100,18663,16632,2031,100,False,9,5,4,100,True,True,100
LA1_1637386727,200,17846,15727,-2119,100,False,8,4,-4,100,True,False,100
LA1_1634824290,200,16529,19536,3007,200,False,6,10,4,200,False,True,200
LA1_1635296210,100,20493,17151,3342,100,False,15,7,8,100,True,True,100
LA1_1636695437,200,17680,16551,-1129,100,False,8,6,-2,100,True,True,200
LA1_1634993585,100,18043,16786,1257,100,False,9,7,2,100,True,True,100
LA1_1638493966,200,15484,19485,4001,200,False,3,13,10,200,False,True,200
LA1_1638093481,100,17139,18669,-1530,200,False,5,8,-3,200,False,False,200
LA1_1638466997,100,17025,19298,-2273,200,False,6,14,-8,200,False,True,100
LA1_1635063072,200,17351,17246,-105,100,False,5,7,2,200,False,True,200
LA1_1636963408,200,17172,16894,-278,100,False,8,7,-1,100,True,True,200
LA1_1637044348,200,16542,16794,252,200,False,4,7,3,200,False,False,100
LA1_1636527547,100,18685,15346,3339,100,False,9,3,6,100,True,True,100
LA1_1634998705,200,16731,16537,-194,100,False,6,8,2,200,False,False,100
LA1_1636043974,100,19331,16053,3278,100,False,11,4,7,100,True,True,100
LA1_1634811741,100,16448,17471,-1023,200,False,7,7,0,0,False,True,100
