gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
-2575,-5,1,0,0,False
-706,-1,0,1,1,True
-989,-2,1,1,0,True
-1634,-2,1,0,0,False
3394,8,0,1,1,True
-276,-1,1,1,0,True
-1463,-3,0,0,0,True
381,1,0,0,1,True
3217,5,0,1,1,True
-808,-2,0,0,1,True
885,2,0,1,1,True
-1437,-3,1,0,1,True
-2555,-4,1,0,0,False
-2217,-4,0,1,0,True
1560,4,0,0,1,True
-1796,-6,0,0,0,False
-8,0,0,0,1,True
-2176,-4,0,0,1,True
568,2,0,1,1,True
185,0,1,0,0,True
-316,1,0,0,0,False
-3571,-6,1,0,0,False
256,2,0,0,0,True
2215,2,0,0,1,True
3390,8,0,0,1,True
-773,0,1,1,0,False
-662,0,0,0,1,True
-443,-3,1,0,0,False
2888,8,0,1,1,True
2184,5,0,1,1,True
-1202,-1,1,1,0,False
2891,7,0,0,0,True
4765,9,0,1,1,True
2997,6,0,1,1,True
-4191,-8,1,0,0,False
2726,6,1,1,1,True
-850,-4,1,0,0,False
-2011,-7,1,0,0,False
-727,-4,0,0,0,True
690,-1,0,0,0,True
3775,6,0,0,1,True
-85,1,0,0,1,True
900,1,1,1,0,False
3262,5,0,0,1,False
1294,3,0,1,1,True
-3366,-3,1,0,0,False
-750,-3,0,1,1,True
1095,6,1,1,0,True
-946,-4,1,1,0,True
-1717,-6,0,1,1,True
-30,-3,0,0,0,False
501,0,1,0,1,True
-1783,-6,1,0,0,False
-4581,-12,1,0,0,False
2820,4,0,1,1,True
-3682,-5,1,1,0,False
733,3,0,1,1,True
2626,5,0,1,0,True
-398,-2,0,0,1,True
2151,6,0,1,1,True
1052,4,0,0,0,True
-84,1,0,1,1,False
1085,1,0,1,1,True
2059,5,0,1,1,True
-1527,-5,0,0,0,False
855,2,1,1,1,False
-862,-3,1,1,0,False
-524,1,1,0,1,False
-2040,-5,1,1,0,False
2228,4,0,1,1,True
1386,2,0,1,1,True
1204,0,0,1,1,True
719,2,0,0,0,True
2398,4,0,1,0,False
1296,0,0,1,1,True
-2036,-3,1,0,0,False
1441,2,1,0,1,True
-1500,-5,1,0,1,False
-875,-2,1,1,0,False
-729,-2,0,1,1,False
235,2,1,0,0,False
720,1,0,0,1,False
-1598,-2,1,0,0,True
1953,1,0,0,1,True
1022,2,1,1,1,True
3839,9,0,1,1,True
-2504,-6,1,0,0,False
718,2,0,0,1,True
-1215,-4,1,0,0,False
-568,-1,0,0,1,True
-555,1,1,0,0,False
