gold_diff,kill_diff,my_team_win
567,0,False
977,4,True
1966,0,True
2212,4,False
-2473,-2,False
1055,1,False
175,-1,False
3034,6,True
-5761,-11,False
1179,3,True
-412,-2,False
644,2,False
2809,5,True
1286,2,True
5318,8,True
2232,5,True
2109,5,False
1118,3,False
-2138,-5,False
3553,5,True
-1782,-2,True
4743,13,False
3269,5,False
1616,6,True
3869,12,True
2542,3,True
2660,6,True
-2046,-3,False
735,0,True
-999,-4,False
1615,4,True
-1399,-3,False
39,1,False
-602,-1,True
74,1,False
-547,0,True
-1230,-3,False
4301,8,True
-2588,-5,False
1514,4,True
1434,2,True
2281,6,True
-2279,-5,True
363,3,False
1081,4,False
1971,4,False
66,1,False
-528,-1,False
1784,5,True
4405,5,True
1726,4,True
-638,-2,False
-1325,-4,True
-790,1,False
910,4,True
-787,-1,False
2955,8,False
-1542,-2,False
-64,2,True
668,-1,False
203,-3,False
2318,5,True
2812,5,False
-681,-2,False
1607,4,False
-2777,-6,True
-1798,-3,False
-441,-2,False
4249,8,True
-1417,0,False
-3236,-5,False
1363,3,True
190,0,True
-1302,-4,False
962,5,True
367,2,True
-360,-3,False
283,0,True
-3576,-7,False
3377,6,True
1,0,False
1824,2,True
-3722,-8,False
3468,4,True
973,5,True
-619,0,True
-1406,-5,True
1746,4,True
-2572,-4,True
5176,8,True
-2246,-7,False
616,-1,False
-25,2,True
-367,-1,False
2343,4,True
-646,-2,False
113,-2,True
3857,5,True
375,2,False
489,-1,False
422,-2,True
567,2,False
3418,7,True
-1176,-4,True
2857,6,True
-1816,-3,False
544,2,True
1080,4,True
-764,-1,False
762,2,True
2378,4,True
-115,0,False
-1144,-2,False
-3000,-5,False
165,0,False
-1192,-1,False
10,-2,True
-2153,-3,True
220,-1,False
-281,1,False
-1075,-1,True
2496,3,True
1438,3,False
758,3,True
471,2,True
-332,0,False
1267,2,True
-887,-2,True
1599,3,True
1424,2,True
-2084,-2,False
-3775,-6,False
2004,4,True
110,0,False
-41,0,True
2210,3,True
-1765,-3,False
710,2,True
-2092,-5,False
-2317,-2,False
-1679,-2,True
-1531,-3,False
1548,2,True
2080,3,True
332,2,True
232,0,False
1383,2,True
-6,1,True
-1713,-2,False
-795,0,False
-2777,-6,False
2257,7,True
1573,3,False
1681,4,True
-464,-1,False
-3410,-7,False
-105,-3,False
748,1,True
490,1,True
-2099,-6,False
3732,10,True
2828,7,True
-2971,-6,False
-1442,-3,False
1330,3,False
215,0,True
-40,-2,True
497,0,False
-3480,-5,False
-698,-1,False
-1698,-3,True
3043,5,True
2512,4,True
-1643,-3,False
-550,-1,True
1543,5,False
-1075,-4,False
-291,-1,True
-1051,-2,False
-540,1,True
-1145,-4,True
-823,-5,True
-1078,-1,True
-1692,-4,False
-750,-1,True
-1233,-3,False
-449,-3,False
1514,3,True
-517,-2,True
839,3,True
126,-1,True
2172,3,True
-196,0,True
-3254,-8,True
-55,-2,True
1130,6,False
545,0,True
-40,0,False
1109,2,False
-477,-1,True
-2342,-6,False
3647,6,True
737,1,True
744,-1,True
716,0,False
2174,3,True
664,2,True
-544,1,False
-2260,-4,True
709,3,True
3552,5,True
-544,1,True
-963,0,False
-1517,-3,False
1933,4,True
-1404,-2,False
947,1,False
-1322,-1,False
-422,0,False
2484,5,False
-2073,-4,True
-3460,-8,False
-826,-3,False
385,2,True
3712,8,True
3183,7,True
891,1,True
1458,5,True
3908,8,True
3844,8,True
-165,2,True
-4370,-9,False
-473,-1,False
1291,3,False
3286,8,True
-3777,-8,False
652,1,False
-56,3,True
-514,-1,False
307,1,True
3424,6,True
-5559,-10,False
1126,2,True
6213,11,True
37,2,False
2250,5,True
2455,6,False
499,1,True
-548,-5,False
1463,2,False
1648,0,True
619,2,True
1399,2,False
1680,2,True
2094,4,False
577,2,True
1626,4,True
1946,4,True
1547,2,True
2064,3,True
-3107,-4,False
-2980,-7,False
-3092,-6,False
-383,-3,True
1902,3,True
-757,-2,False
-472,2,False
-1023,-2,False
-125,0,True
228,1,False
3672,6,True
-268,0,False
-246,-2,False
88,-1,True
-595,1,True
-67,-1,True
-775,1,False
-4669,-10,False
1967,2,True
2821,6,True
-1236,-1,False
-5096,-9,False
-1280,-4,False
-1934,-2,True
-752,-1,False
845,0,False
277,2,True
3343,5,True
-6278,-12,False
436,0,True
-2515,-6,True
-3101,-4,False
658,2,False
5115,13,True
-3234,-4,False
-1981,-3,False
67,1,True
1502,1,False
-1222,-1,True
2529,6,True
-1357,-3,False
-1545,-4,True
-780,-2,False
61,-1,True
-1420,-4,True
-1844,-1,False
-568,1,False
2904,5,True
-1429,2,True
2360,5,True
-620,0,False
1165,4,True
1079,5,True
650,0,False
-379,-3,False
-1237,-1,True
-1456,-4,False
3232,4,True
2113,5,True
2996,6,True
1352,1,False
-553,-1,False
-515,-1,False
-1682,-2,False
1255,3,True
1613,1,True
-388,-1,True
-3168,-7,False
2125,4,False
-1964,-5,False
1604,2,True
728,1,True
-1045,-4,False
-1790,-3,False
915,2,True
-30,-1,False
60,1,False
-2382,-3,False
-369,1,False
2301,4,True
-57,0,False
-2979,-9,False
-532,-2,False
-1518,-4,True
150,-1,True
-4341,-7,False
-314,-3,True
-3136,-5,False
-2902,-3,False
-767,0,False
-50,1,True
-1304,0,True
-2596,-4,False
-1900,-3,True
788,3,True
-921,-3,True
-35,-1,True
-4418,-9,False
-239,-2,True
2408,3,True
-2298,-2,False
1431,3,True
2934,7,True
-765,1,True
-1420,-3,True
3063,5,True
2384,4,True
-1463,-2,False
-1295,0,False
520,1,True
-967,-3,False
2060,2,True
2621,4,True
12,0,False
2205,3,True
-979,-1,True
1080,1,True
2613,7,True
1865,2,True
-2025,-6,False
-3061,-6,False
226,0,True
-1001,-2,False
-1746,-4,False
560,1,False
1329,4,True
227,0,True
-3091,-5,False
3777,8,True
-535,-3,True
-356,-2,False
-1402,-2,False
405,0,False
1326,2,True
645,3,True
392,1,False
-1797,-5,False
3398,7,True
5242,10,True
2767,5,True
-2198,-4,False
-2261,-1,False
-754,1,True
714,2,True
-2153,-4,False
2098,4,True
1340,2,True
1949,5,True
701,3,False
1436,3,True
331,-1,True
192,1,False
1248,3,True
696,0,False
-213,-1,False
-698,-6,True
-1365,-4,True
-2311,-4,False
1021,2,True
795,0,True
1082,7,True
-231,-4,True
-1939,-2,False
-3983,-5,False
-1653,-2,True
-1075,-1,False
1368,4,True
1251,5,True
2840,3,True
-1114,0,False
1776,3,False
-1714,-2,True
1274,1,True
3179,9,False
2234,6,True
-374,-2,True
291,-2,True
964,3,True
-289,0,False
3813,8,True
2544,4,True
-825,-1,True
-820,-2,True
2312,5,True
-1209,-3,True
2195,2,True
-338,0,False
-2096,-4,False
967,4,False
-863,-3,False
